validation_row,source_example_id,source_split,task_type,operation_group,scenario,tool_call_count,deck_id,source_pack_id,deck_identity,original_user_request,confirmation_gated,deck_recovered,deck_slide_count,expected_slide_no,expected_arguments,rewrite_type,rewritten_user_request,hardness_score,hardness_tags,difficulty,eligible,selected,selected_task_id,exclusion_reason,selection_status
11,editing::batch_03::edit_deck_78d5ab53fdf0__relayout_slide_001,validation,deck_editing,set_layout,relayout_slide,1,deck_78d5ab53fdf0,sp_v5_impacts_of_urban_green_infrastructure_on_air_quality_in_major_cities,batch_03:deck_78d5ab53fdf0,Hi — could you switch slide 5 to a TwoColumn layout? Keep the text the same.,false,false,0,,,,,,,,false,false,,pilot_source_identifier_overlap,excluded:pilot_source_identifier_overlap
12,editing::batch_03::edit_deck_78d5ab53fdf0__relayout_slide_002,validation,deck_editing,set_layout,relayout_slide,1,deck_78d5ab53fdf0,sp_v5_impacts_of_urban_green_infrastructure_on_air_quality_in_major_cities,batch_03:deck_78d5ab53fdf0,Hi — could you switch slide 6 to a TwoColumn layout? Keep the text the same.,false,false,0,,,,,,,,false,false,,pilot_source_identifier_overlap,excluded:pilot_source_identifier_overlap
13,editing::batch_03::edit_deck_78d5ab53fdf0__retitle_slide_001,validation,deck_editing,edit_slide,retitle_slide,1,deck_78d5ab53fdf0,sp_v5_impacts_of_urban_green_infrastructure_on_air_quality_in_major_cities,batch_03:deck_78d5ab53fdf0,Hi — could you give slide 3 a sharper title? Keep the content as is.,false,false,0,,,,,,,,false,false,,pilot_source_identifier_overlap,excluded:pilot_source_identifier_overlap
14,editing::batch_03::edit_deck_78d5ab53fdf0__retitle_slide_002,validation,deck_editing,edit_slide,retitle_slide,1,deck_78d5ab53fdf0,sp_v5_impacts_of_urban_green_infrastructure_on_air_quality_in_major_cities,batch_03:deck_78d5ab53fdf0,Could you give slide 5 a sharper title? Keep the content as is. Thanks!,false,false,0,,,,,,,,false,false,,pilot_source_identifier_overlap,excluded:pilot_source_identifier_overlap
15,editing::batch_03::edit_deck_78d5ab53fdf0__rewrite_slide_preserve_citation_001,validation,deck_editing,edit_content,rewrite_slide_preserve_citation,1,deck_78d5ab53fdf0,sp_v5_impacts_of_urban_green_infrastructure_on_air_quality_in_major_cities,batch_03:deck_78d5ab53fdf0,"Hi — please rephrase slide 3 more clearly, but keep the citation “Source: nature.com, Evaluating green and grey urban infrastructure impacts on particulate pollution”.",false,false,0,,,,,,,,false,false,,pilot_source_identifier_overlap,excluded:pilot_source_identifier_overlap
16,editing::batch_03::edit_deck_78d5ab53fdf0__set_decorative_image_001,validation,deck_editing,set_image,set_decorative_image,1,deck_78d5ab53fdf0,sp_v5_impacts_of_urban_green_infrastructure_on_air_quality_in_major_cities,batch_03:deck_78d5ab53fdf0,Hi — slide 3 looks plain. Could you add a simple decorative image to it?,false,false,0,,,,,,,,false,false,,pilot_source_identifier_overlap,excluded:pilot_source_identifier_overlap
17,editing::batch_03::edit_deck_78d5ab53fdf0__set_decorative_image_002,validation,deck_editing,set_image,set_decorative_image,1,deck_78d5ab53fdf0,sp_v5_impacts_of_urban_green_infrastructure_on_air_quality_in_major_cities,batch_03:deck_78d5ab53fdf0,Slide 5 looks plain. Could you add a simple decorative image to it?,false,false,0,,,,,,,,false,false,,pilot_source_identifier_overlap,excluded:pilot_source_identifier_overlap
18,editing::batch_06::edit_deck_63016e3995aa__adapt_for_5_min_001,validation,deck_editing,edit_content|edit_content,adapt_for_5_min,2,deck_63016e3995aa,sp_v5_economic_impacts_of_universal_basic_income_pilots_in_oecd_countries,batch_06:deck_63016e3995aa,I only have 5 minutes to present this. Can you tighten the deck to fit? Thanks!,true,false,0,,,,,,,,false,false,,unsupported_or_multi_operation_signature,excluded:unsupported_or_multi_operation_signature
19,editing::batch_06::edit_deck_63016e3995aa__delete_redundant_slide_001,validation,deck_editing,delete_slide,delete_redundant_slide,1,deck_63016e3995aa,sp_v5_economic_impacts_of_universal_basic_income_pilots_in_oecd_countries,batch_06:deck_63016e3995aa,Hi — slide 4 feels redundant. Can you remove it to make the deck a bit shorter?,true,true,9,4,{},target_number_to_unique_title,"Delete only the slide titled “Empirical Findings from Universal Basic Income Pilots” because it is redundant. Do not delete, move, or edit any other slide.",3,semantic_title_target|long_deck|trivial_operation_penalty,easy,true,false,,,eligible_not_selected
20,editing::batch_06::edit_deck_63016e3995aa__delete_redundant_slide_002,validation,deck_editing,delete_slide,delete_redundant_slide,1,deck_63016e3995aa,sp_v5_economic_impacts_of_universal_basic_income_pilots_in_oecd_countries,batch_06:deck_63016e3995aa,Slide 6 feels redundant. Can you remove it to make the deck a bit shorter? Thanks!,true,false,0,,,,,,,,false,false,,final_50_source_example_overlap,excluded:final_50_source_example_overlap
21,editing::batch_06::edit_deck_63016e3995aa__improve_slide_001,validation,deck_editing,edit_content,improve_slide,1,deck_63016e3995aa,sp_v5_economic_impacts_of_universal_basic_income_pilots_in_oecd_countries,batch_06:deck_63016e3995aa,Slide 6 feels weak. Can you make it better? Thanks!,true,false,0,,,,,,,,false,false,,final_50_source_example_overlap,excluded:final_50_source_example_overlap
22,editing::batch_06::edit_deck_63016e3995aa__insert_transition_slide_001,validation,deck_editing,insert_slide_after,insert_transition_slide,1,deck_63016e3995aa,sp_v5_economic_impacts_of_universal_basic_income_pilots_in_oecd_countries,batch_06:deck_63016e3995aa,Could you add a short transition slide after slide 3 to introduce the next part? Thanks!,true,true,9,3,"{""after_slide_no"": 3, ""instruction"": ""Connect the surrounding sections briefly."", ""title"": ""Next: Empirical Findings from Universal Basic Income Pilots""}",destination_number_to_unique_title+preservation_constraints_added+limited_title_agenda_distractor,Insert exactly one short transition slide titled “Next: Empirical Findings from Universal Basic Income Pilots” directly after the slide titled “The Policy Stakes of Universal Basic Income Pilots in OECD Countries”. Use it only to connect that section to the following section. Preserve all citation and source references exactly as they are. Do not modify any existing slide. Use the opening slide—not the agenda or title slide.,9,semantic_title_destination|relative_position|citation_preservation|long_deck|similar_title_distractor,hard,true,true,hard_single_005,,selected
23,editing::batch_06::edit_deck_63016e3995aa__insert_transition_slide_002,validation,deck_editing,insert_slide_after,insert_transition_slide,1,deck_63016e3995aa,sp_v5_economic_impacts_of_universal_basic_income_pilots_in_oecd_countries,batch_06:deck_63016e3995aa,Hi — could you add a short transition slide after slide 4 to introduce the next part?,true,false,0,,,,,,,,false,false,,final_50_source_example_overlap,excluded:final_50_source_example_overlap
24,editing::batch_06::edit_deck_63016e3995aa__move_for_flow_001,validation,deck_editing,move_slide,move_for_flow,1,deck_63016e3995aa,sp_v5_economic_impacts_of_universal_basic_income_pilots_in_oecd_countries,batch_06:deck_63016e3995aa,Hi — could you move slide 9 to right after slide 3 to improve the flow?,true,true,9,9,"{""after_slide_no"": 3}",target_number_to_unique_title+preservation_constraints_added+destination_number_to_unique_title+limited_title_agenda_distractor,"Move the slide titled “Policy Recommendations and Future Research Directions” so it appears directly after the slide titled “The Policy Stakes of Universal Basic Income Pilots in OECD Countries”. Keep the moved slide's title, content, and layout unchanged. Preserve all citation and source references exactly as they are. Do not edit or move any other slide. Use the synthesis slide—not the agenda or title slide.",12,semantic_title_target|semantic_title_destination|relative_position|citation_preservation|long_deck|similar_title_distractor,hard,true,true,hard_single_048,,selected
25,editing::batch_06::edit_deck_63016e3995aa__move_for_flow_002,validation,deck_editing,move_slide,move_for_flow,1,deck_63016e3995aa,sp_v5_economic_impacts_of_universal_basic_income_pilots_in_oecd_countries,batch_06:deck_63016e3995aa,Could you move slide 7 to right after slide 3 to improve the flow? Thanks!,true,true,9,7,"{""after_slide_no"": 3}",target_number_to_unique_title+preservation_constraints_added+destination_number_to_unique_title+limited_title_agenda_distractor,"Move the slide titled “Fiscal Cost and Distributional Consequences” so it appears directly after the slide titled “The Policy Stakes of Universal Basic Income Pilots in OECD Countries”. Keep the moved slide's title, content, and layout unchanged. Preserve all citation and source references exactly as they are. Do not edit or move any other slide. Use the case study slide—not the agenda or title slide.",12,semantic_title_target|semantic_title_destination|relative_position|citation_preservation|long_deck|similar_title_distractor,hard,true,true,hard_single_018,,selected
26,editing::batch_06::edit_deck_63016e3995aa__move_slide_001,validation,deck_editing,move_slide,move_slide,1,deck_63016e3995aa,sp_v5_economic_impacts_of_universal_basic_income_pilots_in_oecd_countries,batch_06:deck_63016e3995aa,Hi — slide 8 is closely related to slide 6. Could you move it right after slide 6?,true,false,0,,,,,,,,false,false,,final_50_source_example_overlap,excluded:final_50_source_example_overlap
27,editing::batch_06::edit_deck_63016e3995aa__normalize_titles_001,validation,deck_editing,edit_slide|edit_slide|edit_slide|edit_slide|edit_slide|edit_slide|edit_slide,normalize_titles,7,deck_63016e3995aa,sp_v5_economic_impacts_of_universal_basic_income_pilots_in_oecd_countries,batch_06:deck_63016e3995aa,Hi — the slide titles feel inconsistent. Could you normalize them to a consistent style?,false,false,0,,,,,,,,false,false,,unsupported_or_multi_operation_signature,excluded:unsupported_or_multi_operation_signature
28,editing::batch_06::edit_deck_63016e3995aa__relayout_slide_001,validation,deck_editing,set_layout,relayout_slide,1,deck_63016e3995aa,sp_v5_economic_impacts_of_universal_basic_income_pilots_in_oecd_countries,batch_06:deck_63016e3995aa,Could you switch slide 3 to a TwoColumn layout? Keep the text the same. Thanks!,false,false,0,,,,,,,,false,false,,final_50_source_example_overlap,excluded:final_50_source_example_overlap
29,editing::batch_06::edit_deck_63016e3995aa__relayout_slide_002,validation,deck_editing,set_layout,relayout_slide,1,deck_63016e3995aa,sp_v5_economic_impacts_of_universal_basic_income_pilots_in_oecd_countries,batch_06:deck_63016e3995aa,Could you switch slide 4 to a TwoColumn layout? Keep the text the same. Thanks!,false,true,9,4,"{""layout"": ""TwoColumn""}",target_number_to_unique_title+preservation_constraints_added,Change only the slide titled “Empirical Findings from Universal Basic Income Pilots” to the TwoColumn layout. Preserve every title and bullet exactly. Preserve all citation and source references exactly as they are. Do not modify any other slide.,5,semantic_title_target|citation_preservation|long_deck|trivial_operation_penalty,medium,true,true,hard_single_031,,selected
30,editing::batch_06::edit_deck_63016e3995aa__retitle_slide_001,validation,deck_editing,edit_slide,retitle_slide,1,deck_63016e3995aa,sp_v5_economic_impacts_of_universal_basic_income_pilots_in_oecd_countries,batch_06:deck_63016e3995aa,Hi — could you give slide 3 a sharper title? Keep the content as is.,false,false,0,,,,,,,,false,false,,final_50_source_example_overlap,excluded:final_50_source_example_overlap
31,editing::batch_06::edit_deck_63016e3995aa__retitle_slide_002,validation,deck_editing,edit_slide,retitle_slide,1,deck_63016e3995aa,sp_v5_economic_impacts_of_universal_basic_income_pilots_in_oecd_countries,batch_06:deck_63016e3995aa,Could you give slide 4 a sharper title? Keep the content as is. Thanks!,false,true,9,4,"{""new_title"": ""Current evidence gives section only indirect""}",target_number_to_unique_title+preservation_constraints_added,"On the slide titled “Empirical Findings from Universal Basic Income Pilots”, replace only the title with “Current evidence gives section only indirect”. Keep all bullet content and the layout unchanged. Preserve all citation and source references exactly as they are. Do not modify any other slide.",6,semantic_title_target|citation_preservation|long_deck,medium,true,true,hard_single_023,,selected
32,editing::batch_06::edit_deck_63016e3995aa__rewrite_slide_preserve_citation_001,validation,deck_editing,edit_content,rewrite_slide_preserve_citation,1,deck_63016e3995aa,sp_v5_economic_impacts_of_universal_basic_income_pilots_in_oecd_countries,batch_06:deck_63016e3995aa,"Hi — please rephrase slide 3 more clearly, but keep the citation “Source: Basic income experiments in OECD countries: A rapid evidence review, zenodo.org”.",false,true,9,3,"{""instruction"": ""Rewrite only the bullet text so the main claim and supporting evidence are easier to distinguish."", ""target"": ""bullets""}",target_number_to_unique_title+preservation_constraints_added+content_edit_wording_strengthened+limited_title_agenda_distractor,"On the slide titled “The Policy Stakes of Universal Basic Income Pilots in OECD Countries”, rewrite only the bullet text so the main claim and supporting evidence are easier to distinguish. Keep the title and layout unchanged. Preserve all citation and source references exactly as they are. Do not modify any other slide. Use the opening slide—not the agenda or title slide.",9,semantic_title_target|citation_preservation|content_transformation|long_deck|similar_title_distractor,hard,true,true,hard_single_001,,selected
33,editing::batch_06::edit_deck_63016e3995aa__set_decorative_image_001,validation,deck_editing,set_image,set_decorative_image,1,deck_63016e3995aa,sp_v5_economic_impacts_of_universal_basic_income_pilots_in_oecd_countries,batch_06:deck_63016e3995aa,Slide 3 looks plain. Could you add a simple decorative image to it? Thanks!,false,true,9,3,"{""image_prompt"": ""Decorative illustrative graphic evoking the theme of “The Policy Stakes of Universal Basic Income Pilots in OECD Countries”.""}",target_number_to_unique_title+preservation_constraints_added+limited_title_agenda_distractor,"Add exactly one decorative image to the slide titled “The Policy Stakes of Universal Basic Income Pilots in OECD Countries” with this visual intent: “Decorative illustrative graphic evoking the theme of “The Policy Stakes of Universal Basic Income Pilots in OECD Countries”.” Keep the title, bullet text, and layout unchanged. Preserve all citation and source references exactly as they are. Do not modify any other slide. Use the opening slide—not the agenda or title slide.",7,semantic_title_target|citation_preservation|long_deck|similar_title_distractor,medium,true,true,hard_single_014,,selected
34,editing::batch_06::edit_deck_63016e3995aa__set_decorative_image_002,validation,deck_editing,set_image,set_decorative_image,1,deck_63016e3995aa,sp_v5_economic_impacts_of_universal_basic_income_pilots_in_oecd_countries,batch_06:deck_63016e3995aa,Slide 4 looks plain. Could you add a simple decorative image to it? Thanks!,false,true,9,4,"{""image_prompt"": ""Decorative illustrative graphic evoking the theme of “Empirical Findings from Universal Basic Income Pilots”.""}",target_number_to_unique_title+preservation_constraints_added,"Add exactly one decorative image to the slide titled “Empirical Findings from Universal Basic Income Pilots” with this visual intent: “Decorative illustrative graphic evoking the theme of “Empirical Findings from Universal Basic Income Pilots”.” Keep the title, bullet text, and layout unchanged. Preserve all citation and source references exactly as they are. Do not modify any other slide.",6,semantic_title_target|citation_preservation|long_deck,medium,true,false,,,eligible_not_selected
35,editing::batch_09::edit_deck_a8538b7f29b5__adapt_for_5_min_001,validation,deck_editing,edit_content|edit_content,adapt_for_5_min,2,deck_a8538b7f29b5,sp_v5_evaluating_the_impact_of_early_childhood_education_on_long_term_cognitive_develo,batch_09:deck_a8538b7f29b5,I only have 5 minutes to present this. Can you tighten the deck to fit?,true,false,0,,,,,,,,false,false,,unsupported_or_multi_operation_signature,excluded:unsupported_or_multi_operation_signature
36,editing::batch_09::edit_deck_a8538b7f29b5__change_layout_001,validation,deck_editing,set_layout,change_layout,1,deck_a8538b7f29b5,sp_v5_evaluating_the_impact_of_early_childhood_education_on_long_term_cognitive_develo,batch_09:deck_a8538b7f29b5,Slide 4 is a long bullet list. Could you give it a more structured layout?,false,false,0,,,,,,,,false,false,,final_50_source_example_overlap,excluded:final_50_source_example_overlap
37,editing::batch_09::edit_deck_a8538b7f29b5__delete_redundant_slide_001,validation,deck_editing,delete_slide,delete_redundant_slide,1,deck_a8538b7f29b5,sp_v5_evaluating_the_impact_of_early_childhood_education_on_long_term_cognitive_develo,batch_09:deck_a8538b7f29b5,Hi — slide 8 feels redundant. Can you remove it to make the deck a bit shorter?,true,false,0,,,,,,,,false,false,,final_50_source_example_overlap,excluded:final_50_source_example_overlap
38,editing::batch_09::edit_deck_a8538b7f29b5__delete_redundant_slide_002,validation,deck_editing,delete_slide,delete_redundant_slide,1,deck_a8538b7f29b5,sp_v5_evaluating_the_impact_of_early_childhood_education_on_long_term_cognitive_develo,batch_09:deck_a8538b7f29b5,Slide 4 feels redundant. Can you remove it to make the deck a bit shorter?,true,true,11,4,{},target_number_to_unique_title+limited_title_agenda_distractor,"Delete only the slide titled “Why Understanding the Long-Term Cognitive Impact of Early Childhood Education is Crucial” because it is redundant. Do not delete, move, or edit any other slide. Use the scope definition slide—not the agenda or title slide.",4,semantic_title_target|long_deck|similar_title_distractor|trivial_operation_penalty,easy,true,true,hard_single_013,,selected
39,editing::batch_09::edit_deck_a8538b7f29b5__expand_slide_001,validation,deck_editing,edit_content,expand_slide,1,deck_a8538b7f29b5,sp_v5_evaluating_the_impact_of_early_childhood_education_on_long_term_cognitive_develo,batch_09:deck_a8538b7f29b5,Slide 7 (“Empirical Evidence on Long-Term Cognitive Outcomes from Early Childhood Education”) is a bit thin. Can you develop it a little more using the same source?,false,false,0,,,,,,,,false,false,,final_50_source_example_overlap,excluded:final_50_source_example_overlap
40,editing::batch_09::edit_deck_a8538b7f29b5__improve_slide_001,validation,deck_editing,edit_slide,improve_slide,1,deck_a8538b7f29b5,sp_v5_evaluating_the_impact_of_early_childhood_education_on_long_term_cognitive_develo,batch_09:deck_a8538b7f29b5,Hi — slide 7 feels weak. Can you make it better?,true,false,0,,,,,,,,false,false,,final_50_source_example_overlap,excluded:final_50_source_example_overlap
41,editing::batch_09::edit_deck_a8538b7f29b5__insert_transition_slide_001,validation,deck_editing,insert_slide_after,insert_transition_slide,1,deck_a8538b7f29b5,sp_v5_evaluating_the_impact_of_early_childhood_education_on_long_term_cognitive_develo,batch_09:deck_a8538b7f29b5,Could you add a short transition slide after slide 3 to introduce the next part? Thanks!,true,true,11,3,"{""after_slide_no"": 3, ""instruction"": ""Connect the surrounding sections briefly."", ""title"": ""Next: Why Understanding the Long-Term Cognitive Impact of""}",destination_number_to_unique_title+preservation_constraints_added+limited_title_agenda_distractor,Insert exactly one short transition slide titled “Next: Why Understanding the Long-Term Cognitive Impact of” directly after the slide titled “The problem: why evaluating the impact of early childhood education on long-term cognitive development matters”. Use it only to connect that section to the following section. Preserve all citation and source references exactly as they are. Do not modify any existing slide. Use the opening slide—not the agenda or title slide.,9,semantic_title_destination|relative_position|citation_preservation|long_deck|similar_title_distractor,hard,true,true,hard_single_012,,selected
42,editing::batch_09::edit_deck_a8538b7f29b5__insert_transition_slide_002,validation,deck_editing,insert_slide_after,insert_transition_slide,1,deck_a8538b7f29b5,sp_v5_evaluating_the_impact_of_early_childhood_education_on_long_term_cognitive_develo,batch_09:deck_a8538b7f29b5,Could you add a short transition slide after slide 4 to introduce the next part?,true,false,0,,,,,,,,false,false,,final_50_source_example_overlap,excluded:final_50_source_example_overlap
43,editing::batch_09::edit_deck_a8538b7f29b5__move_for_flow_001,validation,deck_editing,move_slide,move_for_flow,1,deck_a8538b7f29b5,sp_v5_evaluating_the_impact_of_early_childhood_education_on_long_term_cognitive_develo,batch_09:deck_a8538b7f29b5,Could you move slide 11 to right after slide 3 to improve the flow? Thanks!,true,true,11,11,"{""after_slide_no"": 3}",target_number_to_unique_title+preservation_constraints_added+destination_number_to_unique_title+limited_title_agenda_distractor,"Move the slide titled “Synthesis and Implications: Making Informed Decisions on Early Childhood Education” so it appears directly after the slide titled “The problem: why evaluating the impact of early childhood education on long-term cognitive development matters”. Keep the moved slide's title, content, and layout unchanged. Preserve all citation and source references exactly as they are. Do not edit or move any other slide. Use the synthesis slide—not the agenda or title slide.",12,semantic_title_target|semantic_title_destination|relative_position|citation_preservation|long_deck|similar_title_distractor,hard,true,true,hard_single_025,,selected
44,editing::batch_09::edit_deck_a8538b7f29b5__move_for_flow_002,validation,deck_editing,move_slide,move_for_flow,1,deck_a8538b7f29b5,sp_v5_evaluating_the_impact_of_early_childhood_education_on_long_term_cognitive_develo,batch_09:deck_a8538b7f29b5,Could you move slide 10 to right after slide 3 to improve the flow?,true,false,0,,,,,,,,false,false,,final_50_source_example_overlap,excluded:final_50_source_example_overlap
45,editing::batch_09::edit_deck_a8538b7f29b5__relayout_slide_001,validation,deck_editing,set_layout,relayout_slide,1,deck_a8538b7f29b5,sp_v5_evaluating_the_impact_of_early_childhood_education_on_long_term_cognitive_develo,batch_09:deck_a8538b7f29b5,Could you switch slide 3 to a TwoColumn layout? Keep the text the same.,false,true,11,3,"{""layout"": ""TwoColumn""}",target_number_to_unique_title+preservation_constraints_added+limited_title_agenda_distractor,Change only the slide titled “The problem: why evaluating the impact of early childhood education on long-term cognitive development matters” to the TwoColumn layout. Preserve every title and bullet exactly. Preserve all citation and source references exactly as they are. Do not modify any other slide. Use the opening slide—not the agenda or title slide.,6,semantic_title_target|citation_preservation|long_deck|similar_title_distractor|trivial_operation_penalty,medium,true,true,hard_single_010,,selected
46,editing::batch_09::edit_deck_a8538b7f29b5__relayout_slide_002,validation,deck_editing,set_layout,relayout_slide,1,deck_a8538b7f29b5,sp_v5_evaluating_the_impact_of_early_childhood_education_on_long_term_cognitive_develo,batch_09:deck_a8538b7f29b5,Could you switch slide 5 to a TwoColumn layout? Keep the text the same.,false,true,11,5,"{""layout"": ""TwoColumn""}",target_number_to_unique_title+preservation_constraints_added+limited_title_agenda_distractor,Change only the slide titled “Defining Early Childhood Education and Cognitive Development Metrics” to the TwoColumn layout. Preserve every title and bullet exactly. Preserve all citation and source references exactly as they are. Do not modify any other slide. Use the scope definition slide—not the agenda or title slide.,6,semantic_title_target|citation_preservation|long_deck|similar_title_distractor|trivial_operation_penalty,medium,true,false,,,eligible_not_selected
47,editing::batch_09::edit_deck_a8538b7f29b5__retitle_slide_001,validation,deck_editing,edit_slide,retitle_slide,1,deck_a8538b7f29b5,sp_v5_evaluating_the_impact_of_early_childhood_education_on_long_term_cognitive_develo,batch_09:deck_a8538b7f29b5,Could you give slide 3 a sharper title? Keep the content as is.,false,true,11,3,"{""new_title"": ""The problem: why evaluating the impact of early""}",target_number_to_unique_title+preservation_constraints_added+limited_title_agenda_distractor,"On the slide titled “The problem: why evaluating the impact of early childhood education on long-term cognitive development matters”, replace only the title with “The problem: why evaluating the impact of early”. Keep all bullet content and the layout unchanged. Preserve all citation and source references exactly as they are. Do not modify any other slide. Use the opening slide—not the agenda or title slide.",7,semantic_title_target|citation_preservation|long_deck|similar_title_distractor,medium,true,true,hard_single_002,,selected
48,editing::batch_09::edit_deck_a8538b7f29b5__retitle_slide_002,validation,deck_editing,edit_slide,retitle_slide,1,deck_a8538b7f29b5,sp_v5_evaluating_the_impact_of_early_childhood_education_on_long_term_cognitive_develo,batch_09:deck_a8538b7f29b5,Hi — could you give slide 4 a sharper title? Keep the content as is.,false,true,11,4,"{""new_title"": ""Why Understanding the Long-Term Cognitive Impact of Early""}",target_number_to_unique_title+preservation_constraints_added+limited_title_agenda_distractor,"On the slide titled “Why Understanding the Long-Term Cognitive Impact of Early Childhood Education is Crucial”, replace only the title with “Why Understanding the Long-Term Cognitive Impact of Early”. Keep all bullet content and the layout unchanged. Preserve all citation and source references exactly as they are. Do not modify any other slide. Use the scope definition slide—not the agenda or title slide.",7,semantic_title_target|citation_preservation|long_deck|similar_title_distractor,medium,true,true,hard_single_050,,selected
49,editing::batch_09::edit_deck_a8538b7f29b5__rewrite_slide_preserve_citation_001,validation,deck_editing,edit_content,rewrite_slide_preserve_citation,1,deck_a8538b7f29b5,sp_v5_evaluating_the_impact_of_early_childhood_education_on_long_term_cognitive_develo,batch_09:deck_a8538b7f29b5,"Please rephrase slide 3 more clearly, but keep the citation “Source: Impacts of Early Childhood Education on Medium- and Long-Term Educational Outcomes - PMC”. Thanks!",false,false,0,,,,,,,,false,false,,final_50_source_example_overlap,excluded:final_50_source_example_overlap
